;Option;Initial Plan;Naive Repair;Naive Repair / Initial Plan;Replan;Replan / Naive Repair;Seed;Seed / No Seed
0;ADD_STACKS_FIRST_10_PERCENT;15.627;22.112;41.49868816791449;15.291;-30.847503617944998;15.701;2.681315806683671
1;ADD_STACKS_LAST_10_PERCENT;14.904;20.28;36.07085346215782;13.558;-33.14595660749507;18.942;39.71087181000148
2;ADD_STACKS_MIDDLE_10_PERCENT;15.07;21.136;40.25215660252156;14.214;-32.74981074943224;16.161;13.697762769100894
3;REMOVE_STACKS_FIRST_10_PERCENT;15.034;17.374;15.564719968072355;14.263;-17.906066536203515;13.791;-3.309261726144567
4;REMOVE_STACKS_LAST_10_PERCENT;14.854;15.025;1.151205062609406;11.829;-21.27121464226289;13.901;17.516273564967445
5;REMOVE_STACKS_MIDDLE_10_PERCENT;15.079;16.736;10.98879236023609;13.045;-22.054254302103253;13.184;1.0655423533920994
