;Option;Initial Plan;Naive Repair;Naive Repair / Initial Plan;Replan;Replan / Naive Repair;Seed;Seed / No Seed
0;ADD_STACKS_FIRST_10_PERCENT;1.673;2.33;39.27077106993425;1.735;-25.536480686695278;1.709;-1.4985590778097997
1;ADD_STACKS_LAST_10_PERCENT;1.625;2.13;31.07692307692307;1.437;-32.53521126760563;1.98;37.78705636743214
2;ADD_STACKS_MIDDLE_10_PERCENT;1.643;2.218;34.996956786366404;1.582;-28.674481514878263;1.797;13.59039190897597
3;REMOVE_STACKS_FIRST_10_PERCENT;1.612;1.899;17.803970223325056;1.486;-21.748288572933124;1.554;4.57604306864065
4;REMOVE_STACKS_LAST_10_PERCENT;1.575;1.59;0.9523809523809603;1.278;-19.622641509433965;1.577;23.39593114241001
5;REMOVE_STACKS_MIDDLE_10_PERCENT;1.667;1.824;9.418116376724656;1.476;-19.078947368421055;1.591;7.791327913279132
